outer_fold,candidate,rank_inner_average_precision,mean_inner_average_precision,std_inner_average_precision,mean_inner_roc_auc,std_inner_roc_auc,mean_inner_brier_score,std_inner_brier_score,mean_inner_recall_at_0_50,std_inner_recall_at_0_50,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
2,12,30,0.5637707715631077,0.043630927660882064,0.765811011904762,0.01498925894928942,0.17228904038425913,0.0074551537514375675,0.390625,0.05961209969926873,150,3,0.05,1,0.9,1.0,0.25,0.0,2.0
2,21,31,0.562012363662618,0.038960037076974624,0.7598121279761905,0.008395687039729057,0.17580656247918708,0.002329629378442501,0.21354166666666669,0.009021097956087895,150,2,0.02,5,0.7,0.7,0.5,0.01,0.5
2,17,32,0.5616862873902102,0.02691288265338021,0.7656715029761905,0.01635444286831711,0.1741287004101113,0.005689819660480193,0.4583333333333333,0.04658474953124564,250,5,0.1,5,1.0,0.8,0.25,0.1,5.0
2,16,33,0.5606744756104847,0.041702358162430536,0.7665085565476191,0.016172007544171585,0.17239842122645013,0.0057657775789264325,0.40625000000000006,0.06987712429686843,150,3,0.05,5,1.0,0.8,0.25,0.0,0.5
2,15,34,0.5598380774686561,0.04938007415450027,0.7604631696428572,0.01007076680986271,0.17502189412564628,0.004117073139767764,0.24999999999999997,0.014731391274719736,150,4,0.02,8,0.7,1.0,0.0,0.5,2.0
2,36,35,0.5577360107650053,0.04769466018564944,0.7692522321428572,0.019055328625426433,0.1722945784554691,0.0073453076150575124,0.4270833333333333,0.034548174899535405,700,3,0.02,5,1.0,0.9,0.0,0.5,5.0
2,14,36,0.5572643373615904,0.04501912050207178,0.7605096726190476,0.018058728934469172,0.17429747684664412,0.006440812244170026,0.359375,0.0696827508346857,150,4,0.08,3,1.0,0.9,1.0,0.5,2.0
2,28,37,0.5548831163012171,0.03878535924240042,0.7493024553571429,0.016682776625448783,0.18433151529078826,0.008795592434179218,0.4270833333333333,0.06162583107395434,500,5,0.03,1,1.0,0.9,0.0,0.0,5.0
2,29,38,0.5482761632349396,0.05323724847520797,0.7586030505952381,0.00927370088440071,0.17476982663960658,0.003330374742358861,0.30729166666666663,0.034153325647406245,250,2,0.03,5,1.0,0.7,1.0,0.5,5.0
2,23,39,0.5453964444056763,0.04930598124151462,0.7591378348214286,0.01869100052176478,0.1751366162412532,0.007725917492333836,0.390625,0.051822262349303115,500,3,0.02,1,1.0,0.9,0.5,0.01,10.0
2,24,40,0.5356373532282079,0.04469881285712969,0.7534644717261905,0.025521736176713574,0.17655758502088056,0.006299505259597403,0.2760416666666667,0.04745017489137657,150,3,0.02,3,1.0,0.8,0.5,0.01,1.0
3,22,1,0.5991511823743741,0.030369986058146246,0.7808314732142857,0.041099660791083244,0.16943411380676288,0.010717350343396988,0.28645833333333337,0.022702598664274345,250,2,0.03,3,0.8,0.9,0.0,0.01,5.0
3,4,2,0.5976196792535686,0.03818837552463706,0.7837146577380951,0.039960616525787675,0.16842816002403987,0.011540361933266949,0.3333333333333333,0.038975597778895234,350,2,0.05,5,0.9,0.9,1.0,0.5,10.0
3,9,3,0.5966718459251736,0.04078616878964284,0.7733909970238095,0.04342658464767886,0.18008902253309117,0.018474032217754736,0.453125,0.05387541892077398,250,4,0.08,3,0.9,0.7,0.25,0.0,1.0
3,6,4,0.5957895879243784,0.0421264153156175,0.7753906249999999,0.041318620538962916,0.1707102304805348,0.011807252754938196,0.296875,0.009021097956087895,500,4,0.08,8,1.0,0.7,1.0,0.01,10.0
3,14,5,0.5955748789374011,0.04109913472971756,0.781133742559524,0.04182142594504616,0.17094401382058488,0.013986629699465939,0.3385416666666667,0.030812915536977164,150,4,0.08,3,1.0,0.9,1.0,0.5,2.0
3,25,6,0.5941722019792095,0.04058726555469178,0.780366443452381,0.04510326034048359,0.1708661751818141,0.01542307502122913,0.390625,0.05961209969926873,500,2,0.03,3,0.8,0.9,0.5,0.01,2.0
3,11,7,0.5941371788602726,0.036236248295627174,0.7735770089285715,0.042028889757453954,0.17806891329202373,0.018659741775863863,0.40625,0.07583447801333873,150,3,0.1,3,0.9,1.0,0.5,0.0,0.5
3,30,8,0.5940531719839677,0.04027317435472384,0.7794363839285714,0.04383006035106101,0.16884072766124508,0.013335081716807917,0.3697916666666667,0.04510548978043951,350,5,0.03,3,0.7,0.8,1.0,0.01,10.0
3,27,9,0.592228646352521,0.03688636611831093,0.7800874255952381,0.042575881055452715,0.17156064516476333,0.015217648430548066,0.3958333333333333,0.0570544330734548,500,2,0.03,3,0.8,0.8,0.5,0.0,0.5
3,12,10,0.5921920036827555,0.03605809172285586,0.7774367559523809,0.039561872336028904,0.17115830020186173,0.014620989223169826,0.3854166666666667,0.023292374765622806,150,3,0.05,1,0.9,1.0,0.25,0.0,2.0
3,5,11,0.5917957598600008,0.038843579293752185,0.7714378720238095,0.03754109547829059,0.1722843207072025,0.012482587915091147,0.38541666666666663,0.01804219591217579,700,3,0.02,8,0.9,0.9,0.0,0.1,10.0
3,39,12,0.5914868355591519,0.03155470391089031,0.7719029017857143,0.03963502430950317,0.1742013057141677,0.013737558359229799,0.42708333333333337,0.03755782578608323,350,2,0.08,5,0.9,1.0,1.0,0.01,1.0
3,21,13,0.590666482738488,0.03423007563699059,0.7693452380952381,0.04345120243631755,0.17507817582159657,0.007972593757362225,0.1875,0.029462782549439473,150,2,0.02,5,0.7,0.7,0.5,0.01,0.5
3,13,14,0.589358615004646,0.04520223590513493,0.771484375,0.044235942351950976,0.17514196303607296,0.01612833398371665,0.4270833333333333,0.034548174899535426,500,4,0.08,5,0.9,0.7,0.5,0.1,10.0
3,16,15,0.5892225732227001,0.03244888800952107,0.7713448660714285,0.04581133256042936,0.17177562269217025,0.01514021158439972,0.3697916666666667,0.030812915536977178,150,3,0.05,5,1.0,0.8,0.25,0.0,0.5
3,3,16,0.5890305913200686,0.04633014806331642,0.7734840029761905,0.0447920712484571,0.17406453100414065,0.01595939025223012,0.41666666666666663,0.03294039229342061,700,4,0.02,3,0.7,0.8,0.0,0.0,5.0
3,2,17,0.5888104567235877,0.03972568182141036,0.7679036458333334,0.03862634171010572,0.17335490062433695,0.014109513199927981,0.40625,0.010416666666666685,150,5,0.05,8,1.0,0.8,0.0,0.5,1.0
3,38,18,0.5885464709986789,0.04732350633002174,0.7696242559523809,0.04152577772762996,0.17724250868668234,0.01754392453748778,0.4010416666666667,0.017274087449767717,700,3,0.03,3,0.7,1.0,0.0,0.01,5.0
3,23,19,0.5881797525658834,0.03528493762664138,0.777529761904762,0.038863580820435305,0.17129745536583624,0.012718964386630985,0.359375,0.040005967436815656,500,3,0.02,1,1.0,0.9,0.5,0.01,10.0
3,1,20,0.5875754863466436,0.034823286017884536,0.7751116071428571,0.043341572136526535,0.17250986733045112,0.014727138166429284,0.390625,0.06140534438828958,700,2,0.1,1,0.9,0.7,1.0,0.01,10.0
3,19,21,0.5874807289734472,0.04122455198785869,0.7690197172619047,0.045431741787217386,0.17521495977580168,0.015868748734627472,0.4270833333333333,0.023292374765622806,500,3,0.03,5,0.9,0.7,0.25,0.1,2.0
3,15,22,0.5868090674931704,0.04777747544466737,0.7659970238095238,0.04145416254434588,0.17418209022557618,0.009426802312525122,0.25,0.04658474953124562,150,4,0.02,8,0.7,1.0,0.0,0.5,2.0
3,36,23,0.5866247698290141,0.03261011646936947,0.7751116071428572,0.04092748043364938,0.1715857341059669,0.014575927279418647,0.40104166666666663,0.042632045686835686,700,3,0.02,5,1.0,0.9,0.0,0.5,5.0
