outer_fold,selected_calibration_method,threshold,brier_score,log_loss,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,specificity,accuracy,true_negative,false_positive,false_negative,true_positive,total_cost,average_cost,selected_threshold
2,isotonic,0.34,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5425101214574899,0.6979166666666666,0.6104783599088838,0.7228422619047619,0.7477678571428571,0.7328125,335,113,58,134,403,0.6296875,False
2,isotonic,0.35,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5531914893617021,0.6770833333333334,0.6088992974238876,0.7213541666666667,0.765625,0.7390625,343,105,62,130,415,0.6484375,False
2,isotonic,0.36,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5589519650655022,0.6666666666666666,0.6080760095011877,0.7206101190476191,0.7745535714285714,0.7421875,347,101,64,128,421,0.6578125,False
2,isotonic,0.37,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5636363636363636,0.6458333333333334,0.6019417475728155,0.7157738095238095,0.7857142857142857,0.74375,352,96,68,124,436,0.68125,False
2,isotonic,0.38,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5781990521327014,0.6354166666666666,0.6054590570719603,0.7183779761904762,0.8013392857142857,0.7515625,359,89,70,122,439,0.6859375,False
2,isotonic,0.39,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5789473684210527,0.6302083333333334,0.6034912718204489,0.7168898809523809,0.8035714285714286,0.7515625,360,88,71,121,443,0.6921875,False
2,isotonic,0.4,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5714285714285714,0.6041666666666666,0.5873417721518988,0.7049851190476191,0.8058035714285714,0.7453125,361,87,76,116,467,0.7296875,False
2,isotonic,0.41,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5631578947368421,0.5572916666666666,0.5602094240837696,0.6860119047619048,0.8147321428571429,0.7375,365,83,85,107,508,0.79375,False
2,isotonic,0.42,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5721925133689839,0.5572916666666666,0.5646437994722955,0.6893601190476191,0.8214285714285714,0.7421875,368,80,85,107,505,0.7890625,False
2,isotonic,0.43,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.580110497237569,0.546875,0.5630026809651475,0.6886160714285714,0.8303571428571429,0.7453125,372,76,87,105,511,0.7984375,False
2,isotonic,0.44,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5813953488372093,0.5208333333333334,0.5494505494505495,0.6800595238095238,0.8392857142857143,0.74375,376,72,92,100,532,0.83125,False
2,isotonic,0.45,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5696969696969697,0.4895833333333333,0.5266106442577031,0.6655505952380952,0.8415178571428571,0.7359375,377,71,98,94,561,0.8765625,False
2,isotonic,0.46,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5740740740740741,0.484375,0.5254237288135594,0.6651785714285714,0.8459821428571429,0.7375,379,69,99,93,564,0.88125,False
2,isotonic,0.47,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5759493670886076,0.4739583333333333,0.52,0.6622023809523809,0.8504464285714286,0.7375,381,67,101,91,572,0.89375,False
2,isotonic,0.48,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5804195804195804,0.4322916666666667,0.4955223880597015,0.6491815476190477,0.8660714285714286,0.7359375,388,60,109,83,605,0.9453125,False
